Time	Early	Early	Late	Late	Late	Late	Late	Late	Late	Late	Late	Late	Early	Early	Early	Early	Early	Early	Early
Bacteria	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Bacteria|Actinobacteriota	0.0041360294	0.0005979669	0.0032901501	0.0111067037	0.0039714059	0.0060206422	0.0018900344	0.0012889920	0.0035368292	0.0077503775	0.0042241622	0.0044811321	0.0008316008	0.0036423238	0.0010764263	0.0000000000	0.0004742708	0.0006597757	0.0004987531
Bacteria|Actinobacteriota|Actinobacteria	0.0036764706	0.0000000000	0.0032901501	0.0111067037	0.0039714059	0.0060206422	0.0012027491	0.0007733952	0.0022297401	0.0068444892	0.0026283676	0.0044811321	0.0002376002	0.0029138590	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
Bacteria|Actinobacteriota|Actinobacteria|Bifidobacteriales	0.0036764706	0.0000000000	0.0032901501	0.0111067037	0.0039714059	0.0060206422	0.0012027491	0.0007733952	0.0022297401	0.0068444892	0.0026283676	0.0044811321	0.0002376002	0.0029138590	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
Bacteria|Actinobacteriota|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae	0.0036764706	0.0000000000	0.0032901501	0.0111067037	0.0039714059	0.0060206422	0.0012027491	0.0007733952	0.0022297401	0.0068444892	0.0026283676	0.0044811321	0.0002376002	0.0029138590	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
Bacteria|Actinobacteriota|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae|Bifidobacterium	0.0036764706	0.0000000000	0.0032901501	0.0111067037	0.0039714059	0.0060206422	0.0012027491	0.0007733952	0.0022297401	0.0068444892	0.0026283676	0.0044811321	0.0002376002	0.0029138590	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
Bacteria|Actinobacteriota|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae|Bifidobacterium|NA	0.0036764706	0.0000000000	0.0032901501	0.0111067037	0.0039714059	0.0060206422	0.0012027491	0.0007733952	0.0022297401	0.0068444892	0.0026283676	0.0044811321	0.0002376002	0.0029138590	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
Bacteria|Actinobacteriota|Coriobacteriia	0.0004595588	0.0005979669	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0006872852	0.0005155968	0.0013070890	0.0009058883	0.0015957946	0.0000000000	0.0005940006	0.0007284648	0.0010764263	0.0000000000	0.0004742708	0.0006597757	0.0004987531
Bacteria|Actinobacteriota|Coriobacteriia|Coriobacteriales	0.0004595588	0.0005979669	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0006872852	0.0005155968	0.0013070890	0.0009058883	0.0015957946	0.0000000000	0.0005940006	0.0007284648	0.0010764263	0.0000000000	0.0004742708	0.0006597757	0.0004987531
Bacteria|Actinobacteriota|Coriobacteriia|Coriobacteriales|Atopobiaceae	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0002306628	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
Bacteria|Actinobacteriota|Coriobacteriia|Coriobacteriales|Atopobiaceae|Olsenella	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0002306628	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
Bacteria|Actinobacteriota|Coriobacteriia|Coriobacteriales|Atopobiaceae|Olsenella|NA	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0002306628	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
Bacteria|Actinobacteriota|Coriobacteriia|Coriobacteriales|Eggerthellaceae	0.0004595588	0.0005979669	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0006872852	0.0005155968	0.0010764263	0.0009058883	0.0015957946	0.0000000000	0.0005940006	0.0007284648	0.0010764263	0.0000000000	0.0004742708	0.0006597757	0.0004987531
Bacteria|Actinobacteriota|Coriobacteriia|Coriobacteriales|Eggerthellaceae|Enterorhabdus	0.0004595588	0.0005979669	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0006872852	0.0005155968	0.0010764263	0.0009058883	0.0015957946	0.0000000000	0.0005940006	0.0007284648	0.0010764263	0.0000000000	0.0004742708	0.0006597757	0.0004987531
Bacteria|Actinobacteriota|Coriobacteriia|Coriobacteriales|Eggerthellaceae|Enterorhabdus|NA	0.0004595588	0.0005979669	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0006872852	0.0005155968	0.0010764263	0.0009058883	0.0015957946	0.0000000000	0.0005940006	0.0007284648	0.0010764263	0.0000000000	0.0004742708	0.0006597757	0.0004987531
